"Class","n","Mean","Median","SD","Min","Max"
"Lo Fall 2023",272,2.28676470588235,2,1.0826241744502,1,5
"Chang Spring 2024",42,2.38095238095238,2,0.935802276186665,1,5
"Rios Fall 2023",39,2.46153846153846,2,1.16632923595341,1,5
"Herron Spring 2022",293,2.59726962457338,2,1.17694434828986,1,5
"Burger-Dunn Fall 2023",357,2.67226890756303,3,1.2162932523862,1,5
"Kraft Autumn 2022",97,2.68041237113402,2,1.09493523165164,1,5
"Knottenbelt Spring 2024",38,2.68421052631579,2,1.23255969994977,1,5
"Green Fall 2023",47,2.70212765957447,3,1.08176372926691,1,5
"Hynes Spring 2022",82,2.71951219512195,3,1.24001583267374,1,5
"Gliboff Fall 2023",65,2.75384615384615,3,1.11846391915946,1,5
"Schivell Winter 2023",672,2.76041666666667,3,1.09219360024098,1,5
"Meaders Fall 2023",291,2.88659793814433,3,1.29356195212898,1,5
"Theobald Winter 2022",252,2.8968253968254,3,1.19647133964982,1,5
"Hernandez Autumn 2022",104,2.90384615384615,3,1.29614237778116,1,5
"Lewis Spring 2022",167,2.92814371257485,3,1.22015633145846,1,5
"Buckholz Spring 2024",61,2.95081967213115,3,1.16083632937919,1,5
"Talanquer Spring 2022",139,2.97122302158273,3,1.24494599174611,1,5
"Ho Spring 2024",178,2.97752808988764,3,1.2024224897428,1,5
"Sharpe Elles130 Fall 2023",284,3.02816901408451,3,1.23233044746826,1,5
"Archibald Fall 2023",140,3.02857142857143,3,1.26344770480417,1,5
"Theobald Autumn 2021",931,3.03974221267454,3,1.28829700798615,1,5
"Geiger Autumn 2022",123,3.08130081300813,3,1.22537044204813,1,5
"Smith Winter 2023",172,3.18604651162791,3,1.15987121595033,1,5
"Adelman Fall 2023",98,3.25510204081633,3,1.27878183407923,1,5
"Pollet Fall 2023",126,3.26190476190476,3,1.13967413889109,1,5
"Sharpe Elles135 Fall 2023",210,3.28571428571429,3,1.10859440047793,1,5
"Craig Winter 2023",248,3.3508064516129,4,1.17407873903937,1,5
"Gottfried Fall 2023",232,3.37931034482759,3,1.09824868389059,1,5
